bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_55_2	Unknown	2241067	17	192178	27.077385566312113	87.32394366197182	9.859154929577464
Bin_55_3	Unknown	1162921	22	80664	30.119300125824967	59.15492957746479	9.859154929577464
Bin_56_1	Unknown	2278410	2	2273209	39.25973458711373	98.59154929577464	2.816901408450704
Bin_56_4	Unknown	1416423	32	67115	36.355712053548444	59.15492957746479	1.408450704225352
Bin_56_5	Unknown	1336821	33	54727	36.40692542196807	45.070422535211264	1.408450704225352
Bin_57_30	Unknown	2413339	2	2097909	52.24692472457042	100.0	1.408450704225352
Bin_58	Unknown	26300	2	24266	55.279173525869986	0.0	0.0
Bin_59	Unknown	13931	4	8535	51.301815895132066	0.0	0.0
Bin_60	Unknown	4534	1	4534	39.74415527128363	0.0	0.0
Bin_61	Unknown	2399391	72	46413	38.99954006017404	64.78873239436619	14.084507042253522
Bin_62	Unknown	1198453	34	45625	39.07665184129694	60.563380281690144	1.408450704225352
Bin_63_1	Unknown	3391602	4	2806030	38.41855980638755	94.36619718309859	11.267605633802816
Bin_64	Unknown	1930875	7	1228447	38.00583144551714	98.59154929577464	1.408450704225352
Bin_65	Unknown	25414	1	25414	43.279294876839536	0.0	0.0
Bin_66	Unknown	33149	4	19002	49.70197601664501	0.0	0.0
Bin_67	Unknown	154659	19	10701	30.455849952917617	0.0	0.0
Bin_68	Unknown	2627014	255	31674	30.966357720860504	76.05633802816901	11.267605633802816
Bin_69	Unknown	2782804	56	90724	47.42568638723932	80.28169014084507	4.225352112676056
Bin_6_1	Unknown	699699	4	689738	27.97684116408896	87.32394366197182	0.0
Bin_6_2	Unknown	1202487	3	879419	40.66732697000297	90.14084507042253	11.267605633802816
Bin_70	Unknown	9879295	267	48734	31.830027528631955	0.0	0.0
Bin_71	Unknown	5668197	18	529126	42.246704327339756	95.77464788732394	0.0
Bin_72	Unknown	2399014	36	83445	48.69420132207992	74.64788732394366	5.633802816901408
Bin_73	Unknown	142207	3	84761	45.409239781577035	0.0	0.0
Bin_74	Unknown	305476	7	52865	46.193912463895785	0.0	0.0
Bin_75	Unknown	16129369	477	45200	30.45801761026194	57.74647887323944	42.25352112676056
Bin_76_1	Unknown	4118352	5	1637715	49.770112409515036	100.0	5.633802816901408
Bin_76_2	Unknown	4543786	58	156649	48.44867586822221	52.11267605633803	5.633802816901408
Bin_77	Unknown	16387	3	12068	28.877397751116806	0.0	0.0
Bin_78	Unknown	6801	1	6801	65.97559182473167	0.0	0.0
Bin_79_1	Unknown	4041667	80	67988	45.08767926961864	67.6056338028169	9.859154929577464
Bin_79_3	Unknown	3429271	50	118186	43.21542105582126	88.73239436619718	30.985915492957748
Bin_7_1	Unknown	4645429	29	882625	49.05887889787764	92.95774647887323	4.225352112676056
Bin_7_12	Unknown	963828	5	324411	47.2681935041518	74.64788732394366	11.267605633802816
Bin_7_13	Unknown	2339737	22	193325	51.36582570002306	80.28169014084507	18.309859154929576
Bin_7_14	Unknown	3337166	15	514025	47.76779545077358	85.91549295774648	4.225352112676056
Bin_7_15	Unknown	3032028	15	439558	50.60783045185563	90.14084507042253	1.408450704225352
Bin_7_16	Unknown	3212261	28	271505	45.29070290467733	92.95774647887323	19.718309859154928
Bin_7_17	Unknown	3469010	34	452964	50.03817650047861	97.1830985915493	12.67605633802817
Bin_7_18	Unknown	1310187	2	696336	51.796095997948946	59.15492957746479	1.408450704225352
Bin_7_21	Unknown	3572823	14	2052695	48.45278455115416	97.1830985915493	1.408450704225352
Bin_7_23	Unknown	3116179	2	3099321	48.45396269167525	98.59154929577464	1.408450704225352
Bin_7_24	Unknown	3126741	8	476029	51.45731663544283	95.77464788732394	11.267605633802816
Bin_7_27	Unknown	3211806	9	393524	54.108412035326445	92.95774647887323	4.225352112676056
Bin_7_28	Unknown	2837143	5	680346	46.00696500014013	46.478873239436616	0.0
Bin_7_5	Unknown	1562629	1	1562629	57.114369535909596	83.09859154929578	0.0
Bin_7_7	Unknown	3709153	42	444836	45.594990364960346	95.77464788732394	1.408450704225352
Bin_80	Unknown	1501525	52	36888	33.46715375750763	39.436619718309856	9.859154929577464
Bin_81	Unknown	4545544	27	311740	45.149844114748426	67.6056338028169	7.042253521126761
Bin_82_1	Unknown	3065604	16	349583	52.72081018710539	90.14084507042253	9.859154929577464
Bin_82_2	Unknown	2721872	19	245348	51.14017087120202	87.32394366197182	1.408450704225352
Bin_83	Unknown	40936	1	40936	48.27308789736786	0.0	0.0
Bin_84	Unknown	4918534	16	654405	49.57138621264867	88.73239436619718	4.225352112676056
Bin_85	Unknown	56901033	1072	68825	27.258591010740652	18.072289156626507	12.048192771084338
Bin_86_1	Unknown	2686336	8	877057	51.337386857365175	95.77464788732394	5.633802816901408
Bin_87	Unknown	2167965	18	1155406	28.791802754916773	84.50704225352112	14.084507042253522
Bin_88	Unknown	4298121	106	55617	46.807215059539004	47.88732394366197	18.309859154929576
Bin_89_2	Unknown	3047024	6	1174100	46.60648784727813	92.95774647887323	4.225352112676056
Bin_8_6	Unknown	3604615	6	2137816	49.92384922159655	88.73239436619718	2.816901408450704
Bin_9	Unknown	5473	1	5473	36.85364516718436	0.0	0.0
Bin_90	Unknown	123198	6	30576	35.72752425487363	0.0	0.0
Bin_91_1	Unknown	2546520	4	1535875	54.45884629499408	71.83098591549296	22.535211267605632
Bin_91_5	Unknown	1920038	19	159232	49.584949893253786	69.01408450704226	8.450704225352112
Bin_91_7	Unknown	2294438	4	1371117	53.930130905054	91.54929577464789	12.67605633802817
Bin_91_8	Unknown	2790530	11	364579	49.81312527534353	92.95774647887323	26.760563380281692
Bin_92	Unknown	93422	4	20616	50.99596195133916	0.0	0.0
Bin_93	Unknown	11674	2	10266	26.62830636877247	0.0	0.0
Bin_94	Unknown	3742652	35	170329	43.95138231260869	61.971830985915496	2.816901408450704
Bin_95	Unknown	6675	3	2363	51.288453988460795	0.0	0.0
Bin_96	Unknown	1624200	44	49508	59.184429717717876	63.38028169014085	47.88732394366197
Bin_97	Unknown	410124	30	20038	43.796586123604	0.0	0.0
Bin_98	Unknown	1714	1	1714	29.98833138856476	0.0	0.0
Bin_99	Unknown	6445	1	6445	47.540729247478666	0.0	0.0
